Дата,UserID,Продукт,Количество,Цена
2024-10-16,7776,Товар D,3,10.27
2024-06-09,8024,Товар C,8,13.71
2024-03-20,4687,Товар B,6,9.62
2024-07-25,2815,Товар C,2,79.22
2024-02-22,8395,Товар B,4,33.76
2024-01-28,7008,Товар A,7,86.91
2024-01-10,1610,Товар E,3,26.67
2024-08-03,1686,Товар E,1,73.16
2024-02-14,4879,Товар A,2,11.73
2024-10-05,3589,Товар B,1,73.37
2024-04-16,6790,Товар D,4,33.11
2023-12-10,3021,Товар A,2,80.68
2024-06-25,2503,Товар B,1,33.73
2024-06-21,4704,Товар A,5,21.28
2024-11-05,5478,Товар E,10,29.19
2024-08-10,4564,Товар A,6,35.11
2024-11-09,6807,Товар D,5,15.83
2024-06-03,6429,Товар D,9,88.19
2024-08-05,5853,Товар E,7,23.98
2023-12-20,3946,Товар E,3,67.12
2023-11-29,6648,Товар E,8,73.18
2024-08-18,3744,Товар A,2,72.5
2024-06-09,7983,Товар C,10,77.31
2024-01-26,2919,Товар C,2,81.36
2024-04-06,5530,Товар D,6,57.0
2024-08-08,8377,Товар C,8,36.63
2024-03-16,4739,Товар D,6,10.52
2024-06-29,8305,Товар C,6,37.56
2024-02-16,5575,Товар D,9,27.81
2024-10-19,5477,Товар B,7,44.55
2024-02-06,7201,Товар C,7,19.29
2024-05-22,8115,Товар E,7,28.34
2024-05-26,9185,Товар D,5,68.98
2024-09-15,8825,Товар B,5,97.76
2023-12-31,8285,Товар D,9,13.11
2024-10-21,1032,Товар E,3,72.34
2023-12-30,9574,Товар E,7,59.69
2024-03-13,2261,Товар B,6,9.46
2024-06-10,5165,Товар D,7,12.88
2024-10-22,4061,Товар E,2,42.35
2024-08-27,7821,Товар C,10,73.07
2024-07-14,6840,Товар B,9,17.47
2024-08-16,6737,Товар A,9,49.42
2023-11-19,6875,Товар B,5,36.43
2024-07-11,1379,Товар C,4,62.04
2023-11-10,4618,Товар B,1,78.15
2024-01-02,9827,Товар E,4,10.95
2023-11-23,7698,Товар B,2,91.47
2023-11-18,1027,Товар A,9,84.77
2024-02-05,9912,Товар A,4,10.49
2024-01-17,5168,Товар D,7,84.16
2024-01-21,1518,Товар A,10,28.58
2024-09-28,8584,Товар D,8,94.48
2024-08-03,1461,Товар A,9,17.99
2024-05-17,5696,Товар B,6,60.82
2023-12-31,7319,Товар A,9,14.04
2024-03-15,1196,Товар B,2,19.32
2024-09-04,1823,Товар C,10,92.04
2024-10-11,3046,Товар D,3,41.38
2024-02-16,7534,Товар C,5,48.55
2023-11-26,5580,Товар E,8,89.37
2024-08-05,6620,Товар B,9,60.47
2024-01-18,1337,Товар A,1,80.74
2024-08-02,4347,Товар A,3,75.07
2024-08-29,2467,Товар A,5,66.33
2023-11-13,5362,Товар E,5,70.46
2024-04-28,7127,Товар C,5,81.17
2024-08-16,3111,Товар D,8,96.62
2024-01-09,9612,Товар B,7,92.63
2024-06-02,1019,Товар E,3,81.61
2024-08-25,9938,Товар C,5,50.24
2024-10-10,5603,Товар A,6,86.77
2023-12-14,8184,Товар C,4,81.25
2024-01-01,4933,Товар E,7,12.43
2024-07-14,2366,Товар C,3,83.21
2024-10-20,2855,Товар C,10,93.83
2023-12-15,8565,Товар C,10,65.98
2024-06-20,4416,Товар A,8,54.44
2024-09-02,3561,Товар E,1,97.4
2024-04-23,8773,Товар A,9,54.31
2024-04-28,8338,Товар B,5,96.71
2024-08-07,8137,Товар A,7,92.15
2024-07-15,1941,Товар D,10,64.69
2023-11-20,2458,Товар B,3,75.12
2024-06-30,4914,Товар A,6,50.86
2024-08-23,8299,Товар B,8,63.19
2024-03-14,5842,Товар D,4,81.45
2024-10-20,9187,Товар C,9,77.61
2024-04-01,9630,Товар B,1,30.5
2023-12-12,2066,Товар E,10,98.07
2023-12-28,4701,Товар A,1,45.93
2024-10-13,4993,Товар E,1,27.87
2024-05-15,9596,Товар D,3,84.79
2024-08-09,6965,Товар D,10,5.06
2024-03-17,8185,Товар A,4,70.75
2024-05-26,9140,Товар B,4,97.54
2024-03-02,7922,Товар C,5,9.94
2024-05-10,6890,Товар C,4,42.13
2024-01-08,3006,Товар E,9,12.02
2024-02-24,1311,Товар D,1,53.62
2024-08-13,5286,Товар A,6,52.62
2024-10-11,6206,Товар A,1,8.15
2023-11-30,3525,Товар A,8,24.53
2024-04-13,4338,Товар B,7,80.92
2023-11-22,5954,Товар B,4,10.23
2024-03-19,9143,Товар A,8,8.27
2024-09-13,6722,Товар B,7,95.44
2024-06-08,9423,Товар E,2,84.79
2024-07-02,5673,Товар C,6,35.09
2024-04-25,9066,Товар D,2,48.31
2024-09-26,6354,Товар B,1,35.74
2024-01-30,4114,Товар B,7,21.48
2024-10-19,7788,Товар B,3,24.9
2024-10-01,4928,Товар A,4,45.6
2024-06-14,6700,Товар D,3,47.48
2024-04-30,6499,Товар C,7,8.48
2024-05-27,3661,Товар E,2,95.3
2024-07-20,6068,Товар B,2,44.29
2024-04-07,4417,Товар D,3,53.62
2024-09-05,9102,Товар A,4,48.5
2024-04-01,9055,Товар D,7,69.56
2024-05-27,4197,Товар A,9,37.36
2023-12-18,7639,Товар B,7,45.88
2024-09-11,2765,Товар A,5,58.32
2024-09-21,8256,Товар D,7,43.56
2023-11-23,5243,Товар A,7,87.84
2024-03-09,9270,Товар B,2,51.23
2024-05-25,6183,Товар E,5,81.39
2024-07-02,9891,Товар D,5,54.67
2024-07-18,9413,Товар D,10,17.5
2024-05-24,2171,Товар C,7,40.2
2024-09-14,1383,Товар A,3,53.49
2024-08-13,6075,Товар D,6,64.72
2024-08-02,8480,Товар A,10,51.94
2024-05-18,2743,Товар E,3,22.26
2024-08-15,4622,Товар E,8,56.03
2024-06-26,5856,Товар D,4,86.34
2024-05-23,4373,Товар A,9,52.96
2024-01-17,8652,Товар C,8,5.58
2024-04-22,4096,Товар E,5,27.14
2024-08-25,9034,Товар A,7,16.29
2024-05-30,9466,Товар E,10,25.94
2024-03-24,5100,Товар C,9,51.29
2023-12-27,1405,Товар B,10,62.73
2024-05-30,9537,Товар D,1,59.4
2024-02-12,7946,Товар D,5,28.79
2024-01-03,5989,Товар D,4,58.97
2023-12-05,5510,Товар A,6,36.26
2024-01-22,9116,Товар B,9,52.97
2024-06-08,5816,Товар E,6,5.14
2024-06-23,5460,Товар C,6,25.5
2024-10-05,8727,Товар B,4,51.28
2024-01-18,7372,Товар C,5,37.89
2024-01-15,9229,Товар E,6,98.39
2024-01-21,4613,Товар A,6,63.05
2024-04-17,8279,Товар B,1,78.82
2024-06-16,6463,Товар E,8,48.27
2023-11-21,4896,Товар E,7,18.33
2023-12-30,8474,Товар C,1,7.58
2024-02-29,8170,Товар B,4,80.17
2024-01-13,2553,Товар C,5,78.95
2024-09-08,5580,Товар C,4,18.83
2023-11-29,5063,Товар D,9,7.27
2024-05-12,7715,Товар A,10,19.33
2024-04-30,3587,Товар E,10,18.88
2023-12-18,1954,Товар B,1,99.52
2023-11-24,3898,Товар A,2,41.55
2023-12-14,8114,Товар A,2,51.83
2024-02-11,9372,Товар A,3,70.97
2024-05-03,5232,Товар A,2,6.89
2024-10-27,7859,Товар A,7,99.44
2024-01-30,4475,Товар C,9,30.17
2024-10-29,2165,Товар D,9,70.4
2024-02-08,8822,Товар E,6,15.18
2024-10-19,5543,Товар D,10,26.58
2024-10-11,9153,Товар B,3,43.82
2024-02-28,8783,Товар B,7,55.17
2024-09-25,9273,Товар B,6,18.9
2024-09-19,5735,Товар E,7,38.62
2024-06-14,5360,Товар A,1,35.05
2024-05-26,4976,Товар D,5,64.08
2024-05-09,2744,Товар C,10,69.76
2023-11-13,9541,Товар C,6,7.83
2024-05-27,6613,Товар E,5,9.75
2024-03-22,9909,Товар E,6,95.5
2024-05-08,4303,Товар C,8,90.65
2024-04-20,8016,Товар E,5,54.58
2024-08-09,6535,Товар A,5,30.59
2024-04-14,9268,Товар D,7,35.47
2024-08-20,9987,Товар B,6,26.48
2024-05-02,1294,Товар D,7,84.17
2024-01-23,3449,Товар E,1,98.76
2024-05-10,8706,Товар C,5,64.26
2023-11-18,4777,Товар B,9,12.72
2023-11-22,2377,Товар D,6,59.61
2024-08-14,7979,Товар B,9,75.17
2024-06-02,6679,Товар B,10,46.66
2024-02-20,8828,Товар E,9,67.21
2023-12-27,6422,Товар D,3,64.55
2024-09-07,5399,Товар A,9,57.17
2024-02-07,2927,Товар E,2,31.14
2023-12-15,2394,Товар E,9,94.77
2024-01-26,3635,Товар A,8,64.29
2024-07-01,2237,Товар B,1,95.64
2024-07-23,5296,Товар E,3,67.9
2024-05-06,7188,Товар B,6,72.01
2024-09-16,1576,Товар A,2,33.04
2024-05-29,1391,Товар A,6,11.82
2024-10-30,7106,Товар A,3,93.36
2024-07-07,3123,Товар A,4,91.38
2023-11-19,9191,Товар C,5,64.97
2024-01-14,4620,Товар C,2,14.6
2024-01-12,2320,Товар B,7,31.23
2023-12-20,8338,Товар C,9,83.01
2024-10-26,3136,Товар E,8,79.73
2024-07-22,6259,Товар D,3,78.14
2024-08-20,4342,Товар A,5,8.81
2024-10-04,7716,Товар E,7,32.1
2023-11-29,9517,Товар E,4,76.7
2024-03-31,5276,Товар E,9,24.07
2024-02-08,1629,Товар A,3,19.45
2024-03-09,1852,Товар A,10,58.39
2024-06-14,2151,Товар C,3,93.95
2024-07-02,6833,Товар D,8,94.4
2024-10-12,3060,Товар C,9,26.41
2024-06-11,1058,Товар B,3,26.05
2024-01-23,7008,Товар C,6,72.74
2024-03-15,2883,Товар A,2,75.34
2024-02-25,4641,Товар C,8,87.71
2024-02-01,7760,Товар D,4,15.0
2024-08-21,3397,Товар C,2,41.32
2024-04-30,7018,Товар A,7,93.8
2024-09-17,5979,Товар C,1,32.26
2024-02-22,8718,Товар A,7,16.95
2024-08-12,5795,Товар E,3,22.81
2024-09-08,7522,Товар D,2,60.67
2024-05-11,5224,Товар A,8,34.27
2024-03-06,4314,Товар A,10,24.26
2024-09-17,5332,Товар A,4,39.04
2024-03-24,9281,Товар C,5,11.43
2024-10-02,6994,Товар B,1,84.28
2024-01-12,3772,Товар D,7,5.17
2024-07-01,9828,Товар A,3,69.84
2024-04-14,2610,Товар B,10,46.79
2024-01-25,6448,Товар E,10,78.1
2024-07-26,1528,Товар A,8,90.79
2024-07-06,6595,Товар C,1,73.4
2024-05-24,3641,Товар C,4,77.43
2024-04-02,5429,Товар B,5,80.47
2024-06-28,7058,Товар B,7,55.03
2023-11-27,3468,Товар E,9,75.05
2024-03-29,1605,Товар D,6,71.36
2024-08-23,3570,Товар E,2,20.23
2024-08-19,4167,Товар C,7,90.49
2024-11-06,3002,Товар C,7,55.22
2024-05-26,5362,Товар E,7,67.98
2024-03-24,8745,Товар B,6,39.79
2024-09-04,6297,Товар E,9,52.39
2024-05-15,5465,Товар D,4,8.8
2024-07-18,1531,Товар D,5,42.66
2024-08-28,9759,Товар E,2,71.24
2024-05-26,6623,Товар A,6,41.37
2024-08-23,7337,Товар A,2,92.66
2024-04-02,2607,Товар C,2,42.23
2024-07-12,4062,Товар B,6,71.36
2024-05-26,3647,Товар E,5,33.51
2024-11-06,7813,Товар E,10,75.79
2024-09-13,5343,Товар E,8,70.97
2024-03-18,3609,Товар A,4,70.22
2024-01-10,9255,Товар B,1,46.63
2023-12-24,7974,Товар B,1,64.32
2024-02-16,4557,Товар C,8,27.03
2023-12-02,3205,Товар B,6,93.99
2024-05-21,1949,Товар C,9,14.6
2023-11-28,5202,Товар D,5,90.45
2024-09-22,5947,Товар B,4,72.16
2024-01-27,6019,Товар B,7,45.5
2024-08-17,6667,Товар B,10,69.76
2023-11-19,6539,Товар E,7,80.8
2024-09-28,6147,Товар C,5,55.62
2024-05-04,5490,Товар A,4,93.77
2024-07-25,9990,Товар A,5,11.38
2024-06-11,5326,Товар A,3,97.64
2024-01-05,9651,Товар A,7,9.7
2024-05-15,2679,Товар D,4,95.77
2024-08-05,7995,Товар B,4,83.74
2023-11-28,9147,Товар E,5,24.81
2024-02-12,9843,Товар D,6,35.65
2024-09-17,6562,Товар D,4,44.04
2023-12-25,7714,Товар D,5,20.88
2024-06-06,3941,Товар D,1,55.62
2024-01-26,9270,Товар B,4,58.94
2023-12-12,3867,Товар A,1,20.55
2024-09-19,1082,Товар B,9,81.12
2023-11-14,8730,Товар D,5,92.59
2024-03-31,3005,Товар C,7,48.32
2024-10-29,9469,Товар A,8,73.52
2024-04-21,8324,Товар B,7,52.57
2024-05-15,3688,Товар A,1,47.82
2024-01-08,8218,Товар C,10,76.72
2024-05-06,3378,Товар A,1,34.74
2024-10-19,4971,Товар E,2,18.48
2024-02-10,5671,Товар D,10,74.52
2024-05-09,5402,Товар D,3,97.6
2024-05-19,3321,Товар B,7,25.86
2024-04-19,5665,Товар D,4,12.98
2024-10-06,3584,Товар E,4,54.48
2024-09-30,8513,Товар C,3,69.13
2024-05-25,5271,Товар E,9,27.43
2024-08-28,8090,Товар E,5,35.98
2024-02-22,2123,Товар C,5,13.72
2023-12-17,4950,Товар A,7,50.44
2024-04-19,8967,Товар C,5,41.83
2023-12-20,6253,Товар C,9,35.03
2024-10-01,3887,Товар E,5,8.19
2024-10-09,9425,Товар C,7,25.8
2024-01-18,3214,Товар B,2,77.08
2024-05-08,9140,Товар C,5,95.23
2024-09-26,1601,Товар B,8,52.07
2024-10-25,2225,Товар D,10,58.35
2024-01-28,1517,Товар E,8,56.59
2024-05-31,5411,Товар E,1,28.41
2024-08-28,3769,Товар D,2,94.28
2024-04-09,6010,Товар B,1,72.74
2023-11-28,4495,Товар E,6,79.94
2024-01-29,2976,Товар D,6,42.83
2024-06-01,3279,Товар C,3,17.59
2024-10-09,2112,Товар C,10,80.31
2024-05-18,6467,Товар E,1,38.99
2024-11-09,7341,Товар A,5,67.39
2024-06-16,1797,Товар A,1,66.24
2024-04-18,2801,Товар E,10,78.05
2024-02-01,5518,Товар C,9,69.06
2024-07-12,7394,Товар E,7,71.29
2024-04-11,7906,Товар E,10,76.12
2024-02-22,8004,Товар B,6,56.6
2024-11-06,8914,Товар A,6,96.73
2024-02-15,5147,Товар E,8,99.97
2024-01-29,9036,Товар D,8,92.57
2023-12-29,3791,Товар C,5,71.63
2024-06-21,8782,Товар E,5,38.56
2024-05-12,2259,Товар D,6,31.41
2024-08-15,9876,Товар B,7,75.64
2024-04-21,2068,Товар C,5,44.18
2024-09-10,7810,Товар B,10,81.19
2024-07-15,9848,Товар B,1,82.74
2024-03-31,7074,Товар C,4,96.83
2023-11-16,1281,Товар C,2,58.01
2024-06-03,3301,Товар E,7,91.43
2024-01-28,5070,Товар D,4,98.32
2024-06-11,1919,Товар A,5,78.27
2024-02-14,2990,Товар B,3,42.39
2023-12-26,3887,Товар E,2,21.4
2024-07-31,6138,Товар A,3,31.36
2024-02-22,3535,Товар E,2,71.05
2024-10-12,2677,Товар C,10,50.84
2024-10-17,9899,Товар C,4,45.77
2024-06-04,7075,Товар C,2,22.74
2024-09-19,5824,Товар D,3,74.46
2024-08-08,1640,Товар E,1,91.13
2024-11-02,4954,Товар A,8,7.31
2023-11-14,2989,Товар A,8,15.5
2024-11-05,1751,Товар C,1,42.27
2024-05-09,1427,Товар C,9,32.84
2024-02-22,8419,Товар D,4,52.56
2024-07-19,3699,Товар C,4,67.56
2023-12-09,4595,Товар A,5,80.86
2024-06-12,8766,Товар B,2,34.37
2024-06-20,1991,Товар D,7,22.59
2024-07-19,7407,Товар D,4,21.8
2024-08-14,6520,Товар B,9,19.95
2024-11-04,1209,Товар B,7,63.37
2024-03-07,7097,Товар C,9,41.99
2024-06-02,4307,Товар E,9,42.48
2024-02-28,2363,Товар A,10,75.73
2024-07-04,7083,Товар B,6,61.24
2023-12-14,2180,Товар D,5,52.16
2024-01-28,1430,Товар C,6,46.16
2024-09-25,7449,Товар B,1,63.95
2024-10-04,9277,Товар D,3,38.6
2024-06-17,6270,Товар A,4,64.97
2024-06-04,9556,Товар E,5,12.55
2024-06-24,9970,Товар D,2,53.57
2024-03-04,7541,Товар C,6,66.99
2024-07-14,4515,Товар E,1,35.76
2024-06-04,5629,Товар D,10,44.14
2024-10-15,6283,Товар E,3,8.87
2024-09-01,1376,Товар D,6,50.61
2024-04-15,8831,Товар D,7,5.82
2024-10-05,1234,Товар C,6,63.67
2024-07-25,4571,Товар E,7,40.15
2024-09-16,4889,Товар A,3,33.6
2024-01-21,8462,Товар C,9,70.65
2024-09-29,6464,Товар E,3,65.08
2024-04-05,6244,Товар D,6,28.49
2024-07-28,7932,Товар D,9,66.23
2024-08-29,8438,Товар B,6,53.53
2024-05-05,4004,Товар E,7,28.32
2024-03-12,9149,Товар E,6,59.37
2024-09-15,7127,Товар A,3,60.46
2024-02-09,1510,Товар B,1,92.04
2024-04-24,3699,Товар B,6,11.18
2024-07-10,1338,Товар B,2,94.79
2024-04-23,3168,Товар D,10,71.6
2024-05-04,4065,Товар D,7,19.42
2024-06-15,1853,Товар B,10,94.8
2024-05-30,3437,Товар E,8,33.1
2024-02-11,7865,Товар A,10,47.2
2023-11-20,4562,Товар A,3,62.77
2024-01-14,9075,Товар B,8,21.91
2023-11-26,3420,Товар D,8,60.75
2024-10-11,7066,Товар A,6,75.95
2024-04-30,7154,Товар A,4,50.81
2024-07-04,3084,Товар D,5,14.48
2024-08-03,8717,Товар B,4,43.28
2024-09-04,5410,Товар A,4,49.53
2024-06-05,5845,Товар B,5,34.09
2024-09-09,1467,Товар B,6,40.41
2024-05-28,5948,Товар B,6,58.39
2024-10-12,1669,Товар C,8,51.15
2024-03-18,4756,Товар A,2,64.56
2024-03-31,7830,Товар D,4,6.92
2023-12-31,5835,Товар A,9,66.14
2023-11-22,3987,Товар D,4,32.26
2024-09-27,1673,Товар A,10,31.2
2024-06-10,4551,Товар A,10,16.73
2024-02-25,8370,Товар D,6,33.23
2024-07-29,1419,Товар D,2,89.91
2023-11-11,3164,Товар C,2,62.48
2023-12-23,5965,Товар C,10,23.08
2024-03-23,7759,Товар A,1,39.38
2023-12-26,1436,Товар C,6,58.58
2024-09-17,6588,Товар C,5,79.79
2023-12-20,7223,Товар A,7,95.98
2024-09-08,3930,Товар D,7,7.98
2024-01-05,6060,Товар D,8,56.11
2024-04-27,1116,Товар D,7,39.39
2024-03-04,3479,Товар A,4,84.33
2024-04-11,6013,Товар E,10,17.29
2024-09-30,5121,Товар B,8,80.3
2023-12-04,4658,Товар B,1,97.3
2024-06-07,2127,Товар B,2,54.73
2024-01-31,5048,Товар E,10,40.75
2024-01-26,3245,Товар A,7,38.6
2024-10-04,2333,Товар B,9,13.28
2024-01-25,2507,Товар B,3,18.2
2024-05-12,7974,Товар E,7,12.34
2024-10-06,7113,Товар D,5,57.22
2024-06-20,4091,Товар B,1,8.86
2024-05-19,4842,Товар A,8,31.01
2024-10-26,2397,Товар D,1,98.85
2024-09-03,3017,Товар C,8,37.64
2024-04-11,3481,Товар D,9,28.57
2024-07-12,1679,Товар E,4,59.88
2024-04-18,9766,Товар A,2,30.43
2023-12-01,5438,Товар E,6,27.94
2023-12-02,1428,Товар D,8,12.87
2024-08-05,4309,Товар D,1,98.14
2024-08-11,4248,Товар B,5,15.89
2024-03-22,8579,Товар C,2,45.23
2024-09-30,8463,Товар C,2,42.99
2024-01-01,9666,Товар E,5,57.02
2024-08-15,2591,Товар C,4,61.45
2024-07-10,7779,Товар D,4,88.03
2024-04-22,5335,Товар B,3,45.75
2024-10-28,4639,Товар C,9,60.57
2024-04-26,1225,Товар D,9,31.2
2024-09-05,4232,Товар E,6,34.23
2024-07-05,4514,Товар E,2,92.5
2024-03-07,9009,Товар B,3,16.39
2023-11-14,6022,Товар B,1,16.89
2024-05-23,7038,Товар C,10,28.9
2024-08-02,6822,Товар B,3,79.46
2024-04-21,6606,Товар D,6,31.85
2024-09-16,7558,Товар C,9,84.93
2024-05-24,3046,Товар B,8,59.56
2024-09-22,9020,Товар B,4,87.42
2024-02-23,4224,Товар C,8,72.35
2024-08-26,7122,Товар E,3,19.98
2024-03-03,6614,Товар E,5,63.12
2024-01-23,6524,Товар C,2,29.82
2024-09-05,2816,Товар B,9,69.19
2024-07-01,2518,Товар C,3,69.16
2024-09-15,5346,Товар A,5,69.59
2024-09-05,5449,Товар A,7,59.09
2024-02-03,4985,Товар B,9,92.21
2024-01-14,1919,Товар D,9,57.24
2024-03-22,2051,Товар E,2,45.07
2024-10-29,4701,Товар C,10,58.39
2023-12-21,5103,Товар D,3,90.59
2024-08-16,1245,Товар B,10,71.23
2024-07-29,9328,Товар B,8,53.13
2024-08-10,2859,Товар B,5,84.44
2024-06-02,9593,Товар A,5,80.96
2023-12-16,8261,Товар C,10,9.97
2024-04-18,3697,Товар C,1,82.34
2024-08-17,4752,Товар C,5,68.18
2024-11-04,8454,Товар A,10,69.73
2024-04-02,5068,Товар A,7,60.05
2023-12-15,2031,Товар A,10,21.97
2023-11-17,2611,Товар D,3,25.89
2024-02-20,1644,Товар C,3,41.8
2023-12-12,7807,Товар E,4,46.77
2023-12-19,7120,Товар C,9,22.29
2023-11-16,2829,Товар B,9,57.91
2024-08-08,6551,Товар A,6,47.16
2024-01-13,8104,Товар A,10,77.04
2024-07-23,2113,Товар B,8,86.41
2024-03-16,3981,Товар B,4,96.25
2024-07-29,8786,Товар E,7,87.33
2024-06-26,8930,Товар A,1,14.6
2024-10-26,8955,Товар E,7,6.11
2024-09-02,4515,Товар B,5,16.36
2023-11-14,4758,Товар D,7,6.77
2024-01-26,9950,Товар B,9,41.41
2024-08-23,4494,Товар D,5,9.31
2024-02-13,5123,Товар C,1,39.29
2024-01-15,6882,Товар B,3,88.05
2023-11-14,8218,Товар A,2,89.41
2024-09-19,2030,Товар A,6,63.32
2024-10-14,2252,Товар C,5,18.47
2024-07-20,2386,Товар A,7,83.98
2024-01-19,8200,Товар D,2,67.45
2024-04-08,4173,Товар A,9,88.38
2024-08-03,6185,Товар C,8,18.63
2023-12-13,8252,Товар C,10,47.53
2024-03-31,1968,Товар B,2,7.9
2024-10-27,9058,Товар D,2,12.1
2023-11-28,2351,Товар B,9,74.68
2024-06-25,1659,Товар E,6,61.2
2024-04-20,5335,Товар A,9,66.34
2024-04-04,4929,Товар D,6,37.44
2024-05-13,5715,Товар D,3,57.0
2024-06-08,9627,Товар D,3,76.38
2024-04-08,9997,Товар E,8,32.13
2023-11-18,4447,Товар D,1,84.41
2024-07-13,3218,Товар D,8,75.98
2024-06-05,5214,Товар D,10,61.04
2024-03-25,9760,Товар A,5,27.25
2024-02-10,1928,Товар B,2,50.94
2023-12-20,9304,Товар C,6,37.88
2024-08-28,6824,Товар D,10,76.26
2023-12-15,8077,Товар C,9,50.81
2024-02-12,4219,Товар E,9,47.38
2024-04-19,3081,Товар E,9,43.26
2023-12-10,5633,Товар A,4,45.86
2024-01-29,1476,Товар E,7,60.74
2024-04-30,7214,Товар E,4,32.7
2024-08-19,5076,Товар D,10,73.55
2023-11-20,4247,Товар E,10,69.89
2024-09-05,8639,Товар C,5,59.56
2024-03-27,1116,Товар D,4,49.67
2024-02-29,2537,Товар A,10,14.88
2023-12-14,6221,Товар B,3,44.37
2024-04-13,5632,Товар A,7,69.74
2024-07-01,4012,Товар C,3,80.87
2024-04-28,9454,Товар D,6,13.82
2024-09-01,5020,Товар A,5,82.36
2023-12-02,9125,Товар E,9,56.54
2024-08-29,9456,Товар C,1,19.84
2024-06-25,8241,Товар A,3,63.06
2024-02-18,7670,Товар C,3,55.92
2024-09-21,8009,Товар E,3,6.98
2024-08-06,8806,Товар B,1,66.89
2023-12-14,3993,Товар C,1,94.85
2024-02-06,7435,Товар D,10,48.98
2024-09-20,2249,Товар E,10,20.6
2024-07-15,7507,Товар A,6,75.42
2024-07-07,2194,Товар A,2,26.29
2024-01-23,3421,Товар E,6,25.02
2024-01-10,3627,Товар D,9,94.75
2024-09-01,4458,Товар A,7,22.95
2024-03-12,8940,Товар D,3,52.72
2024-01-25,2021,Товар A,9,55.86
2024-07-04,9724,Товар C,9,71.25
2024-11-06,2812,Товар E,5,36.73
2024-10-08,8124,Товар C,7,56.9
2024-11-07,9603,Товар A,8,27.03
2023-11-27,8251,Товар E,8,66.12
2024-06-10,5229,Товар A,9,60.87
2024-05-19,5264,Товар E,9,46.72
2023-12-21,2651,Товар A,2,14.13
2024-10-24,2879,Товар E,8,43.56
2024-05-14,1353,Товар E,4,82.57
